path,id,Annotation
Impressionism/claude-monet_the-fonds-at-varengeville.jpg,29894,1
Rococo/benjamin-west_the-angel-of-the-lord-announcing-the-resurrection-1805.jpg,66646,2
Realism/vasily-perov_the-arrival-of-rural-teachers.jpg,64213,0
Impressionism/marianne-north_view-of-both-falls-of-niagara-1871.jpg,34977,1
Mannerism_Late_Renaissance/parmigianino_wise-virgins-allegorical-figures-and-plants.jpg,40224,2
Expressionism/ernst-ludwig-kirchner_head-of-the-painter-self-portrait.jpg,19063,0
Realism/henry-herbert-la-thangue_gathering-wool.jpg,58729,0
Cubism/fernand-leger_three-women-with-flowers.jpg,14140,0
Art_Nouveau_Modern/felix-vallotton_portrait-of-french-writer-albert-aurier-1898.jpg,4174,0
Impressionism/edgar-degas_jockeys-1.jpg,30808,0
Impressionism/walter-sickert_queen-victoria-and-her-great-grandson.jpg,38683,0
Realism/salvador-dali_the-vase-of-cornflowers.jpg,63385,2
Romanticism/dante-gabriel-rossetti_jane-morris-1870.jpg,69255,0
Mannerism_Late_Renaissance/jacopo-pontormo_the-holy-family.jpg,39896,2
Expressionism/georges-braque_the-studio-ii-1949.jpg,19676,2
Romanticism/francisco-goya_what-a-tailor-can-do-1799.jpg,70332,0
Post_Impressionism/lajos-tihanyi_street-in-trencs-n-1912.jpg,51683,1
Northern_Renaissance/albrecht-durer_portrait-of-a-windisch-farmer.jpg,45202,0
Expressionism/chaim-soutine_landscape-at-cagnes.jpg,18232,1
Baroque/juan-de-valdes-leal_coronation-of-san-jos.jpg,10051,2
Impressionism/santiago-rusinol_figure-study.jpg,38087,0
Fauvism/marcel-duchamp_chauvel-1910.jpg,24555,0
Baroque/bartolome-esteban-murillo_st-john-the-baptist-with-the-scribes-and-pharisees.jpg,8054,2
Realism/anders-zorn_at-the-piano-1900.jpg,56080,0
Romanticism/william-turner_ulysses-deriding-polyphemus.jpg,75508,2
Romanticism/caspar-david-friedrich_landscape-with-the-rosenberg-in-bohemian-switzerland.jpg,69006,1
Northern_Renaissance/hans-baldung_st-christopher.jpg,45802,2
Ukiyo_e/kitagawa-utamaro_woman-and-child-1803.jpg,80859,0
Post_Impressionism/vincent-van-gogh_sheet-with-sketches-of-diggers-and-other-figures-1890.jpg,55139,0
Early_Renaissance/fra-angelico_christ-the-judge-detali.jpg,16583,2
Post_Impressionism/pablo-picasso_acrobat-and-young-harlequin-1905.jpg,52757,0
Naive_Art_Primitivism/ivan-generalic_cows-in-a-landscape-1957.jpg,42815,1
Impressionism/pierre-auguste-renoir_portrait-of-claude-monet-1875.jpg,37067,0
Realism/james-mcneill-whistler_the-coast-of-brittany-aka-alone-with-the-tide.jpg,60594,1
Symbolism/james-tissot_jael-smote-sisera-and-slew-him-1902.jpg,76620,2
Impressionism/alfred-sisley_village-street-louveciennes-1874.jpg,26856,2
Post_Impressionism/stefan-luchian_anemone-flowers-1908.jpg,54294,2
Realism/basuki-abdullah_bidadari-mandi.jpg,56309,1
Expressionism/ernst-ludwig-kirchner_self-portrait-with-model-1.jpg,19176,0
Symbolism/nicholas-roerich_himalayas-1938-5.jpg,78271,1
Impressionism/claude-monet_weeping-willow.jpg,30394,1
Romanticism/sir-lawrence-alma-tadema_egyptian-chess-players-1865.jpg,74485,0
Post_Impressionism/georges-seurat_the-ploughman.jpg,50399,0
Naive_Art_Primitivism/niko-pirosmani_fawn.jpg,43924,0
Expressionism/natalia-goncharova_round-dance.jpg,21969,0
Impressionism/santiago-rusinol_portrait-of-ramon-casas.jpg,38102,0
Post_Impressionism/ion-pacea_still-life.jpg,51369,2
Impressionism/claude-monet_calm-weather-fecamp.jpg,29216,2
Synthetic_Cubism/juan-gris_the-bottle-of-banyuls-1914.jpg,80197,2
Post_Impressionism/edouard-cortes_the-grands-boulevards-porte-and-port-denis-martin.jpg,50082,2
Ukiyo_e/tsukioka-yoshitoshi_the-appearance-of-a-brothel-geisha-of-the-koka-era.jpg,80947,0
Impressionism/claude-monet_water-lilies-1.jpg,30249,2
Mannerism_Late_Renaissance/giorgio-vasari_monument-to-michelangelo-1570.jpg,39692,2
Symbolism/nicholas-roerich_sharugen-monastery-1932.jpg,78872,1
Baroque/cornelis-de-vos_diogenes-searches-for-a-man.jpg,8356,0
Post_Impressionism/gustave-loiseau_the-red-painted-house.jpg,50701,1
Impressionism/edgar-degas_woman-brushing-her-hair-1.jpg,31110,0
Realism/julius-leblanc-stewart_a-hunt-ball-1885(1).jpg,61652,0
Impressionism/vasile-popescu_houses-in-prahova-valley-1942.jpg,38587,1
Romanticism/franz-xaver-winterhalter_emperor-frederick-iii-of-germany-king-of-prussia-with-his-wife-empress-victoria-and-their.jpg,70392,0
Symbolism/konstantin-bogaevsky_landscape-with-waterfall-and-bridge-1942.jpg,76849,1
Realism/viktor-vasnetsov_moving-house-1876.jpg,65031,0
Impressionism/arthur-verona_gipsy-tent.jpg,27324,0
Realism/gustave-courbet_spring-stags-fighting-1861.jpg,58317,1
Northern_Renaissance/mabuse_st-jerome-penitent.jpg,46932,2
Symbolism/odilon-redon_two-women-under-a-red-tree.jpg,79549,0
Post_Impressionism/gustave-loiseau_in-the-mountains.jpg,50581,1
Synthetic_Cubism/juan-gris_violin-and-glass-1915.jpg,80217,2
Impressionism/claude-monet_poplars-at-giverny-2.jpg,29599,1
Cubism/ernst-ludwig-kirchner_three-nudes-in-the-forest-3.jpg,14005,0
Impressionism/john-singer-sargent_all-ave-maria.jpg,34030,2
Realism/vasily-surikov_portrait-of-e-a-surikova-1.jpg,64602,0
Impressionism/claude-monet_the-seine-at-port-villez-1.jpg,30087,1
Impressionism/edgar-degas_bust-of-a-woman.jpg,30654,0
Romanticism/ford-madox-brown_stages-of-cruelty-1890.jpg,69885,0
New_Realism/edward-hopper_railroad-sunset.jpg,44453,2
Abstract_Expressionism/joe-goode_untitled-torn-clouds-1975.jpg,1322,2
Impressionism/eugene-boudin_cherbourg-1883.jpg,31481,2
Romanticism/eugene-delacroix_a-mortally-wounded-brigand-quenches-his-thirst-1825(1).jpg,69665,0
Impressionism/camille-pissarro_march-sun-pontoise-1875.jpg,28026,1
Expressionism/salvador-dali_the-wounded-bird.jpg,23183,2
Impressionism/mary-cassatt_young-girl-holding-a-loose-bouquet.jpg,35253,0
Expressionism/sa-nogueira_figure.jpg,23044,0
Romanticism/william-turner_the-lake-of-thun-switzerland.jpg,75489,1
Northern_Renaissance/albrecht-durer_christ-bearing-the-cross-1509.jpg,44866,2
Pointillism/theo-van-rysselberghe_portrait-of-helene-and-michette-guinotte-1901.jpg,47714,0
Realism/pyotr-konchalovsky_still-life-lilacs-1951.jpg,63185,2
Realism/nikolai-ge_sophia-tolstaya.jpg,62574,0
Impressionism/gustave-caillebotte_nasturtiums-1.jpg,32507,2
